,state,largest_city,state_letters
0,Alabama,Huntsville,AL
1,Alaska,Anchorage,AK
2,American Samoa,Tafuna,AS
3,Arizona,Phoenix,AZ
4,Arkansas,Little Rock,AR
5,California,Los Angeles,CA
6,Colorado,Denver,CO
7,Connecticut,Bridgeport,CT
8,Delaware,Wilmington,DE
9,District of Columbia,Washington,DC
10,Florida,Jacksonville,FL
11,Georgia,Atlanta,GA
12,Guam,Dededo,GU
13,Hawaii,Honolulu,HI
14,Idaho,Boise,ID
15,Illinois,Chicago,IL
16,Indiana,Indianapolis,IN
17,Iowa,Des Moines,IA
18,Kansas,Wichita,KS
19,Kentucky,Louisville,KY
20,Louisiana,New Orleans,LA
21,Maine,Portland,ME
22,Maryland,Baltimore,MD
23,Massachusetts,Boston,MA
24,Michigan,Detroit,MI
25,Minnesota,Minneapolis,MN
26,Mississippi,Jackson,MS
27,Missouri,Kansas City,MO
28,Montana,Billings,MT
29,Nebraska,Omaha,NE
30,Nevada,Las Vegas,NV
31,New Hampshire,Manchester,NH
32,New Jersey,Newark,NJ
33,New Mexico,Albuquerque,NM
34,New York,New York City,NY
35,North Carolina,Charlotte,NC
36,North Dakota,Fargo,ND
37,Northern Mariana Islands,Saipan,MP
38,Ohio,Columbus,OH
39,Oklahoma,Oklahoma City,OK
40,Oregon,Portland,OR
41,Pennsylvania,Philadelphia,PA
42,Puerto Rico,San Juan,PR
43,Rhode Island,Providence,RI
44,South Carolina,Charleston,SC
45,South Dakota,Sioux Falls,SD
46,Tennessee,Nashville,TN
47,Texas,Houston,TX
48,Utah,Salt Lake City,UT
49,Vermont,Burlington,VT
50,Virgin Islands (U.S.),Charlotte Amalie,VI
51,Virginia,Virginia Beach,VA
52,Washington,Seattle,WA
53,West Virginia,Charleston,WV
54,Wisconsin,Milwaukee,WI
55,Wyoming,Cheyenne,WY
